,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
200,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
201,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-114.69999999999999,1
202,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0.0,-114.61999999999996,2
203,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0.0,-114.49,3
204,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-114.48999999999997,2
205,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0.05,-89.63,2
206,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0.05,-89.62999999999998,1
207,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0.05,-86.30999999999997,1
208,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-114.3,1
209,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.05,-125.09999999999997,2
210,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.0,-113.93,1
211,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-113.58,1
212,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0.05,-88.68,1
213,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-113.30000000000001,1
214,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-113.3,2
215,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
216,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.0,-113.0,1
217,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-112.67999999999998,1
218,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-112.67999999999998,1
219,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-140.74,1
220,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-112.54999999999998,2
221,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-112.17999999999998,1
